1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.837248	0.000000	11.577589	0.027304	163.3
1	-0.886205	0.000000	11.577589	0.032210	3.3
2	-0.858285	0.000000	11.577589	0.025310	3.1
3	-0.848311	0.000000	11.577589	0.028374	3.1
4	-0.854068	0.000000	11.577589	0.023128	3.0
5	-0.874382	0.000000	11.577589	0.019359	3.3
6	-0.899474	0.000000	11.577589	0.023679	3.1
7	-0.877813	0.000000	11.577589	0.011884	3.1
8	-0.863206	0.000000	11.577589	0.013568	3.1
9	-0.870758	0.000000	11.577589	0.009570	3.0
10	-0.879088	0.000000	11.577589	0.007022	3.3
11	-0.846460	0.000000	11.577589	0.010856	3.2
12	-0.871726	0.000000	11.577589	0.009136	3.1
13	-0.883387	0.000000	11.577589	0.013536	3.1
14	-0.870428	0.000000	11.577589	0.012470	3.3
15	-0.885004	0.000000	11.577589	0.011201	3.1
16	-0.891615	1.000000	11.051335	0.011482	3.2
17	-0.870775	1.999849	10.570911	0.011427	3.1
18	-0.846616	1.933329	10.601573	0.010134	3.0
19	-0.893204	1.866611	10.632506	0.010647	3.1
20	-0.918125	1.801831	10.662713	0.013125	3.1
21	-0.876012	2.801831	10.214734	0.006516	3.2
22	-0.904812	3.801830	9.802880	0.008674	2.9
23	-0.828716	4.800321	9.423502	0.007481	2.9
24	-0.900352	5.799853	9.072041	0.010202	3.2
25	-0.866026	5.904350	9.036805	0.011459	3.1
26	-0.863990	5.837631	9.059271	0.009367	3.3
27	-0.857228	5.785702	9.076834	0.011257	3.0
28	-0.852759	5.718983	9.099499	0.007854	3.1
29	-0.823369	6.718982	8.771223	0.008470	3.1
30	-0.885383	6.652265	8.792385	0.008452	3.1
31	-0.898520	6.585546	8.813651	0.004737	3.1
32	-0.871181	6.518905	8.834994	0.013312	3.0
33	-0.890025	6.452200	8.856462	0.009343	3.2
34	-0.887772	6.385481	8.878039	0.012515	3.1
35	-0.901291	7.385481	8.565272	0.010810	3.1
