1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.457440	0.000000	1070.445213	0.002284	250.0
1	-0.465418	0.000000	1070.445213	0.004389	2.7
2	-0.471186	0.000000	1070.445213	0.004477	2.7
3	-0.517092	0.000000	1070.445213	0.003070	2.4
4	-0.522283	0.000000	1070.445213	0.001936	2.6
5	-0.508500	0.000000	1070.445213	0.003385	2.5
6	-0.509814	0.000000	1070.445213	0.003192	2.2
7	-0.524698	0.000000	1070.445213	0.003021	2.5
8	-0.519556	0.000000	1070.445213	0.003357	2.3
9	-0.563353	0.000000	1070.445213	0.003596	2.3
10	-0.565767	0.000000	1070.445213	0.003979	2.2
11	-0.544909	0.000000	1070.445213	0.003257	2.3
12	-0.597076	0.000000	1070.445213	0.003981	2.3
13	-0.609396	0.000000	1070.445213	0.003633	2.5
14	-0.603355	0.000000	1070.445213	0.002872	2.4
15	-0.656424	0.000000	1070.445213	0.003766	2.5
16	-0.648085	0.000000	1070.445213	0.004611	2.5
17	-0.668630	0.000000	1070.445213	0.004190	2.4
18	-0.688256	0.000000	1070.445213	0.003458	2.3
19	-0.650241	0.000000	1070.445213	0.003417	2.3
20	-0.696932	0.000000	1070.445213	0.004111	2.2
21	-0.721133	0.000000	1070.445213	0.004346	2.3
22	-0.731002	0.000000	1070.445213	0.003972	2.3
23	-0.728702	0.000000	1070.445213	0.003338	2.4
24	-0.723625	0.000000	1070.445213	0.003279	2.4
25	-0.786789	0.000000	1070.445213	0.003687	2.3
26	-0.789047	0.000000	1070.445213	0.002695	2.5
27	-0.786329	0.000000	1070.445213	0.002325	2.5
28	-0.778264	0.000000	1070.445213	0.004210	2.2
29	-0.776822	1.000000	1021.788613	0.002739	2.5
30	-0.779563	2.000000	977.363021	0.001556	2.4
31	-0.775512	1.906331	981.359677	0.001947	2.4
32	-0.780571	1.812657	985.389341	0.002377	2.4
33	-0.811859	1.718984	989.452235	0.001715	2.7
34	-0.790153	1.625311	993.548772	0.001842	2.5
35	-0.776593	1.531637	997.679370	0.001692	2.4
36	-0.792420	2.531637	955.282007	0.001895	2.4
37	-0.769372	2.437964	959.099939	0.002281	2.5
38	-0.793712	3.437964	919.853628	0.002356	2.3
39	-0.763351	3.344729	923.376455	0.001477	2.3
40	-0.780258	4.344729	886.943772	0.002293	2.5
41	-0.796039	4.251055	890.234054	0.002178	2.4
42	-0.809193	5.251055	856.321740	0.001438	2.6
43	-0.826795	6.251055	824.898306	0.001396	2.7
44	-0.787853	6.157394	827.743257	0.002057	2.3
45	-0.795260	7.157394	798.346245	0.001776	2.4
46	-0.749073	7.063720	801.011032	0.001196	2.5
