1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.565480	0.000000	3364.944238	0.003764	5090.7
1	-0.600878	0.000000	3364.944238	0.004601	3.0
2	-0.585278	1.000000	3211.992227	0.004138	3.3
3	-0.563828	2.000000	3072.340391	0.003758	3.6
4	-0.584004	3.000000	2944.326208	0.004001	3.3
5	-0.595468	3.999804	2826.575312	0.004644	4.6
6	-0.578003	3.053776	2937.743669	0.004361	3.9
7	-0.562545	4.053776	2820.486150	0.003720	3.7
8	-0.572826	5.053776	2712.229822	0.004251	3.9
9	-0.589932	4.107748	2814.423166	0.005097	4.5
10	-0.612845	5.107748	2706.622864	0.004043	3.6
11	-0.602471	6.107748	2606.776030	0.003747	3.6
12	-0.566880	5.332603	2683.510973	0.004276	4.3
13	-0.563546	6.332578	2585.333472	0.004258	4.3
14	-0.569998	7.332578	2494.083976	0.004541	3.8
15	-0.570710	8.332578	2409.056197	0.003756	3.6
16	-0.564077	7.386550	2489.341899	0.003695	5.3
17	-0.550506	6.440522	2575.163392	0.004366	3.8
18	-0.578954	7.440522	2484.617820	0.004343	3.7
19	-0.597144	6.494495	2570.108298	0.004040	3.6
20	-0.589740	7.494495	2479.911636	0.004285	4.5
21	-0.587834	6.548468	2565.072944	0.004557	3.6
22	-0.577975	7.548468	2475.223185	0.003894	3.5
23	-0.589650	8.548468	2391.454943	0.004344	4.0
24	-0.593552	7.610693	2469.839797	0.004203	4.5
25	-0.574471	6.708763	2550.234024	0.003994	3.5
26	-0.590768	7.707582	2461.504035	0.004398	3.2
27	-0.598591	8.707582	2378.646283	0.004540	4.1
28	-0.558754	7.761554	2456.884944	0.003951	4.4
29	-0.568759	6.815526	2540.445519	0.003450	3.6
30	-0.592566	5.876770	2629.178608	0.004682	3.3
31	-0.608403	4.930742	2725.098562	0.004493	4.9
32	-0.602180	5.930742	2623.909426	0.004168	4.4
33	-0.598388	4.984727	2719.437065	0.003969	4.6
34	-0.580306	5.984727	2618.660167	0.004094	5.6
35	-0.581469	6.979373	2525.568667	0.004317	4.5
36	-0.583556	7.056905	2518.589630	0.004553	4.5
37	-0.601250	8.056905	2431.911794	0.004174	4.4
38	-0.610413	7.110881	2513.753610	0.005160	5.3
39	-0.602645	8.110881	2427.402613	0.003963	4.5
40	-0.631213	9.110881	2346.787151	0.004229	5.9
41	-0.582573	8.164853	2422.910484	0.004838	5.2
42	-0.565114	7.218826	2504.137842	0.004583	4.6
43	-0.574504	8.218826	2418.434951	0.004762	4.6
44	-0.575384	9.218826	2338.404212	0.004388	3.9
45	-0.579881	10.218826	2263.500554	0.004115	3.8
46	-0.581712	10.419047	2249.076150	0.004599	3.9
47	-0.613357	9.473019	2318.898196	0.004454	4.9
48	-0.576536	10.380476	2251.840564	0.004424	4.4
49	-0.558405	11.377001	2182.531634	0.004613	5.0
50	-0.581289	12.377001	2117.141349	0.004053	5.2
51	-0.598347	13.377001	2055.555367	0.004363	4.0
52	-0.581641	12.445923	2112.778552	0.004210	3.3
53	-0.599747	13.445923	2051.442453	0.003723	3.6
54	-0.585053	12.499895	2109.374621	0.004287	4.3
55	-0.586275	11.553868	2170.673851	0.004262	3.7
56	-0.556955	12.553868	2105.981641	0.004500	3.6
57	-0.570321	11.607840	2167.080962	0.004311	4.8
58	-0.613531	10.662188	2231.804959	0.004432	3.5
59	-0.607193	9.841771	2291.172886	0.004073	3.6
60	-0.574922	10.841771	2219.217940	0.003255	3.5
