1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.584843	0.000000	3064.613354	0.004681	5860.1
1	-0.628307	0.000000	3064.613354	0.005182	3.9
2	-0.591692	1.000000	2925.312747	0.003825	3.6
3	-0.585227	1.488659	2861.748245	0.004036	4.0
4	-0.591043	2.488659	2739.912926	0.004460	4.0
5	-0.607970	3.488659	2628.027955	0.004766	4.2
6	-0.575547	2.536574	2734.335142	0.004862	4.5
7	-0.603290	3.536574	2622.895983	0.004911	4.3
8	-0.576863	4.536454	2520.196455	0.004247	4.3
9	-0.602185	5.536454	2425.225346	0.005462	4.9
10	-0.625555	4.584368	2515.476608	0.004421	4.6
11	-0.602514	3.632283	2612.704641	0.004199	4.5
12	-0.556039	4.632283	2510.774406	0.003938	4.2
13	-0.568583	3.680198	2607.632282	0.004302	4.3
14	-0.587076	2.728112	2712.262961	0.004206	4.3
15	-0.586708	3.728111	2602.579694	0.004569	4.3
16	-0.570870	4.728111	2501.422649	0.003860	4.0
17	-0.579911	3.776026	2597.546534	0.005197	4.5
18	-0.591675	2.823941	2701.353291	0.004859	4.1
19	-0.613740	3.823941	2592.532805	0.004791	4.3
20	-0.587437	2.871855	2695.931226	0.005017	5.7
21	-0.590688	3.871855	2587.538378	0.004306	3.9
22	-0.601794	4.871855	2487.524740	0.004659	4.6
23	-0.587409	3.919770	2582.563173	0.004948	4.6
24	-0.595554	4.919770	2482.926364	0.004241	3.7
25	-0.589304	5.919770	2390.692056	0.004420	4.2
26	-0.608419	6.919770	2305.064844	0.004162	4.0
27	-0.603028	7.919764	2225.359839	0.005184	3.2
28	-0.563958	7.562184	2253.219833	0.004436	3.4
29	-0.582357	6.623496	2329.787647	0.004482	3.3
30	-0.605052	7.623496	2248.393410	0.005851	3.5
31	-0.636402	8.623496	2172.494421	0.004286	3.5
32	-0.601177	9.621153	2101.713162	0.004318	3.6
33	-0.605313	8.882687	2153.651060	0.004257	3.7
34	-0.583162	7.930602	2224.526172	0.004250	3.9
35	-0.594269	6.980049	2300.098908	0.004517	3.9
36	-0.598678	6.028101	2381.109981	0.005277	4.3
37	-0.605418	5.540817	2424.826674	0.003861	3.7
38	-0.618673	6.540817	2336.781839	0.005215	4.2
39	-0.617318	7.540817	2254.906764	0.004852	3.5
40	-0.641967	8.540817	2178.574860	0.004636	3.9
41	-0.597588	7.588794	2251.122571	0.004834	3.7
42	-0.583762	8.588794	2175.042332	0.004643	3.8
43	-0.591576	9.588794	2103.936478	0.004935	3.9
44	-0.591400	10.584652	2037.599809	0.004862	3.7
45	-0.585035	11.584652	1975.067307	0.004607	3.9
46	-0.594450	12.584652	1916.258680	0.004349	3.7
47	-0.626397	11.987732	1950.933784	0.004640	3.5
48	-0.572425	12.987732	1893.532666	0.004345	3.5
49	-0.554944	13.987732	1839.412763	0.004131	3.7
50	-0.594340	13.035658	1890.866375	0.003894	3.9
51	-0.587637	12.083581	1945.281559	0.004392	3.3
52	-0.599214	13.083581	1888.207698	0.004632	3.4
53	-0.609120	14.083581	1834.387431	0.004228	3.5
54	-0.593474	13.131496	1885.556985	0.004622	3.6
55	-0.604174	14.131496	1831.885573	0.004585	3.5
56	-0.571335	13.179411	1882.913704	0.004806	3.8
57	-0.580624	14.179410	1829.390535	0.003771	4.0
58	-0.609651	13.429755	1869.222714	0.005152	3.7
59	-0.616138	12.477670	1922.382316	0.004260	3.8
60	-0.584727	13.477667	1866.625127	0.003770	3.7
61	-0.605955	12.525593	1919.634380	0.005414	4.5
62	-0.593522	11.573507	1975.743038	0.005261	3.7
63	-0.614082	10.621422	2035.230433	0.004946	3.2
64	-0.599157	11.621422	1972.841049	0.005129	3.2
65	-0.599061	10.669337	2032.151198	0.004961	3.0
66	-0.577847	11.669337	1969.947572	0.004438	3.3
67	-0.579497	12.669337	1911.438918	0.004228	3.2
68	-0.606057	13.669337	1856.305503	0.005601	3.2
69	-0.623113	14.669337	1804.263450	0.004348	3.2
70	-0.621773	13.717264	1853.742880	0.004061	3.4
71	-0.585888	12.765178	1906.013341	0.004484	3.0
72	-0.608176	13.765178	1851.187984	0.005071	3.3
73	-0.607167	12.813093	1903.312436	0.004485	3.4
74	-0.628221	11.861008	1958.457298	0.005579	3.4
75	-0.597341	12.861008	1900.619170	0.004285	3.7
76	-0.603399	11.908922	1955.605828	0.005142	3.4
77	-0.573832	12.908922	1897.933520	0.004468	3.3
78	-0.617266	11.956837	1952.762650	0.004449	3.3
79	-0.600577	12.956837	1895.255449	0.004700	3.1
80	-0.589472	13.956837	1841.038432	0.004249	3.3
81	-0.591564	14.956837	1789.837086	0.003950	3.2
82	-0.602705	14.004752	1838.518404	0.004691	3.3
83	-0.595659	13.052681	1889.921078	0.005240	3.3
84	-0.605105	14.052681	1836.004487	0.004890	3.2
85	-0.574558	13.100596	1887.265556	0.004771	3.1
86	-0.578886	12.148511	1941.471246	0.004374	3.3
87	-0.589879	11.196425	1998.882785	0.004821	3.4
88	-0.596696	10.244340	2059.793241	0.004149	3.3
89	-0.591594	9.292255	2124.532509	0.005070	3.3
90	-0.583947	10.290191	2056.774910	0.005122	3.2
91	-0.608138	11.290191	1993.078325	0.004305	3.3
92	-0.596130	12.258320	1935.061084	0.004296	3.4
