1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.613780	0.000000	1762.126600	0.003079	1082.5
1	-0.630517	0.000000	1762.126600	0.003308	2.9
2	-0.624019	0.456198	1724.660562	0.003015	3.1
3	-0.637091	1.305649	1658.981466	0.003737	3.2
4	-0.607347	2.305649	1587.797803	0.003625	3.0
5	-0.616253	3.305649	1522.471520	0.003529	2.8
6	-0.618091	4.291348	1463.135069	0.003227	2.9
7	-0.617347	3.380721	1517.783598	0.003816	2.8
8	-0.583832	4.380714	1457.983374	0.003540	2.9
9	-0.584955	5.380714	1402.716357	0.003437	3.0
10	-0.610591	4.470089	1452.867291	0.003542	3.2
11	-0.626257	5.470089	1397.980157	0.003267	2.9
12	-0.626546	6.470089	1347.089162	0.003018	2.7
13	-0.616517	5.584900	1391.942738	0.003192	3.1
14	-0.597906	4.674273	1441.312817	0.003639	3.0
15	-0.624890	5.674273	1387.278998	0.003829	3.0
16	-0.617351	6.674273	1337.150166	0.004072	3.0
17	-0.637680	7.674273	1290.517766	0.003515	2.8
18	-0.580147	8.674273	1247.028317	0.003510	3.1
19	-0.588786	7.763647	1286.507901	0.002889	2.9
20	-0.599178	6.859821	1328.244681	0.003089	3.0
21	-0.647294	7.740076	1287.563023	0.003152	3.1
22	-0.652676	8.740076	1244.269151	0.002932	2.9
23	-0.619501	8.346676	1260.948890	0.003617	3.0
24	-0.629149	9.346676	1219.397423	0.003442	2.9
25	-0.626246	10.346676	1180.497049	0.004675	2.9
26	-0.624174	11.346676	1144.001892	0.003652	2.8
27	-0.652680	12.346676	1109.695567	0.003658	3.0
28	-0.622111	13.346676	1077.386896	0.003813	2.9
29	-0.601028	12.437123	1106.693841	0.003313	2.9
30	-0.630678	11.526496	1137.677363	0.003775	3.1
31	-0.619702	12.526496	1103.743684	0.003074	3.0
32	-0.597969	13.526496	1071.775665	0.003337	3.2
33	-0.633151	12.823330	1094.057242	0.003109	3.1
34	-0.626309	13.809452	1063.063508	0.003920	3.1
35	-0.657104	14.809452	1033.376835	0.003687	3.0
36	-0.625442	15.796805	1005.648680	0.003834	3.0
37	-0.626812	14.919477	1030.211510	0.003756	2.9
38	-0.643981	15.919477	1002.307228	0.003473	3.1
39	-0.644231	16.919153	975.883049	0.003584	2.9
40	-0.642196	16.008570	999.894312	0.004136	3.0
41	-0.647197	15.097943	1025.118213	0.004133	3.1
42	-0.644189	16.097943	997.485462	0.003559	3.4
43	-0.617865	17.097943	971.303328	0.003825	3.2
44	-0.628572	16.187316	995.088191	0.003448	2.8
45	-0.620813	17.187314	969.030143	0.003094	3.0
46	-0.610418	18.187313	944.302013	0.003652	2.9
47	-0.610529	17.276686	966.767570	0.003303	3.1
48	-0.633641	16.366059	990.328118	0.003433	3.0
49	-0.588293	15.455432	1015.065713	0.003832	2.9
50	-0.621489	14.579042	1040.068994	0.003475	2.9
51	-0.603185	13.668415	1067.388244	0.002985	3.1
52	-0.615142	12.757788	1096.181385	0.003409	2.9
53	-0.634981	12.047391	1119.745220	0.002853	3.1
54	-0.618684	11.212708	1148.759619	0.003298	3.0
55	-0.611784	12.212472	1114.179586	0.003253	2.9
56	-0.599855	11.318146	1145.011787	0.003515	2.8
