1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.668257	0.000000	1899.332323	0.002324	809.3
1	-0.656921	0.000000	1899.332323	0.002875	2.5
2	-0.685368	0.000000	1899.332323	0.002311	2.5
3	-0.673408	0.000000	1899.332323	0.002857	2.4
4	-0.683339	1.000000	1812.999035	0.002280	2.5
5	-0.683474	2.000000	1734.172990	0.002912	2.4
6	-0.687725	1.425086	1778.632144	0.002354	2.6
7	-0.679860	2.425086	1702.703650	0.002722	2.5
8	-0.684887	1.850773	1745.498002	0.002334	2.5
9	-0.685778	1.276263	1790.514845	0.002353	2.5
10	-0.652745	2.257771	1714.952788	0.002506	2.6
11	-0.660981	1.682868	1758.418647	0.002595	2.4
12	-0.648499	2.680535	1684.336030	0.002692	2.6
13	-0.663838	3.679603	1616.151555	0.002944	2.5
14	-0.660366	3.104689	1654.697922	0.001935	2.5
15	-0.678792	4.104689	1588.786015	0.003133	2.6
16	-0.676035	5.104689	1527.923922	0.002831	2.5
17	-0.677190	6.104689	1471.552719	0.002293	2.6
18	-0.683841	5.529782	1503.441648	0.001882	2.5
19	-0.687947	4.954868	1536.743673	0.001902	2.6
20	-0.669118	5.954864	1479.732120	0.002302	2.5
21	-0.691023	6.402978	1455.534460	0.002060	2.8
22	-0.663173	5.828114	1486.723189	0.002560	2.6
23	-0.689838	6.828114	1433.297968	0.002069	2.8
24	-0.686467	6.253334	1463.526557	0.002307	2.5
25	-0.702758	5.768908	1490.011452	0.002351	2.5
26	-0.659742	6.768908	1436.353906	0.002286	2.5
27	-0.674893	6.194044	1466.717449	0.002179	2.5
28	-0.685121	5.673468	1495.342802	0.002411	2.5
29	-0.695854	5.127013	1526.618399	0.003152	2.6
30	-0.681097	4.552099	1560.966800	0.002907	2.8
31	-0.691118	5.552099	1502.177972	0.001966	2.6
32	-0.666235	5.223630	1520.993809	0.002642	2.6
33	-0.693448	6.223630	1465.123456	0.002182	2.4
34	-0.676301	5.648719	1496.731559	0.002551	2.7
35	-0.667526	6.648719	1442.597711	0.002285	2.6
36	-0.687956	7.648719	1392.243009	0.002259	2.6
37	-0.714923	7.073805	1420.754285	0.002707	2.6
38	-0.688458	6.498892	1450.457690	0.002639	2.6
39	-0.700551	7.498892	1399.562459	0.002259	2.5
40	-0.666558	8.498892	1352.117881	0.002684	2.3
41	-0.695614	9.498892	1307.784536	0.002219	2.6
42	-0.692397	10.498892	1266.266105	0.003070	2.6
43	-0.696527	9.923978	1289.807515	0.003021	2.5
44	-0.722015	10.923978	1249.405046	0.002896	2.6
45	-0.700858	10.349064	1272.318026	0.003128	2.8
46	-0.680089	11.349064	1232.987118	0.002201	2.6
47	-0.689306	12.339726	1196.349923	0.002388	2.6
48	-0.688081	11.764812	1217.341905	0.002596	2.6
49	-0.728261	12.764812	1181.288338	0.002615	2.4
50	-0.699723	12.189909	1201.750173	0.002069	2.5
51	-0.678542	11.614995	1222.933767	0.002702	2.7
52	-0.683634	12.614967	1186.554150	0.002569	2.5
53	-0.702624	13.614967	1152.275505	0.002594	2.5
54	-0.682401	13.040053	1171.736677	0.002462	2.6
55	-0.715882	14.040053	1138.296754	0.002339	2.5
56	-0.696755	13.465139	1157.284716	0.002235	2.6
57	-0.678741	12.890225	1176.916902	0.002753	2.8
58	-0.704704	13.890225	1143.184907	0.002156	2.8
59	-0.703497	13.315422	1162.333902	0.002172	2.4
60	-0.709452	14.215089	1132.638866	0.002602	2.6
61	-0.687251	15.215079	1101.363843	0.002552	2.6
62	-0.702170	14.658349	1118.559327	0.002855	2.5
63	-0.719546	14.083435	1136.889214	0.002249	2.5
64	-0.725701	15.083435	1105.381981	0.003048	2.6
