1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.673897	0.000000	10.072736	0.029667	445.9
1	-0.669252	0.000000	10.072736	0.029966	3.6
2	-0.658501	0.000000	10.072736	0.031918	3.2
3	-0.704817	0.000000	10.072736	0.013060	3.2
4	-0.725740	0.000000	10.072736	0.023768	3.4
5	-0.689779	0.150113	10.001245	0.015708	3.4
6	-0.708260	1.150113	9.549724	0.021264	3.6
7	-0.683294	2.149993	9.137258	0.015547	3.8
8	-0.698678	1.993512	9.199441	0.014103	3.7
9	-0.703332	2.993512	8.816027	0.009534	3.5
10	-0.724516	2.837071	8.873886	0.022294	3.4
11	-0.685790	3.823113	8.521391	0.022336	3.2
12	-0.670205	4.823113	8.191401	0.012401	3.4
13	-0.667241	5.823113	7.886015	0.019480	3.2
14	-0.707904	5.666633	7.932290	0.014411	3.0
15	-0.700055	5.510153	7.979111	0.012279	3.7
16	-0.697468	6.275377	7.755254	0.017430	3.5
17	-0.650540	7.275373	7.480979	0.015918	3.4
18	-0.717688	7.149572	7.514411	0.020067	3.1
19	-0.694962	8.149572	7.256623	0.013660	3.5
20	-0.683796	7.997935	7.294570	0.010195	3.5
21	-0.691770	8.997935	7.051401	0.022869	3.4
22	-0.680354	8.979324	7.055778	0.016357	3.2
23	-0.678185	9.971978	6.829640	0.015796	3.4
24	-0.694254	10.971978	6.616027	0.015408	3.2
25	-0.680905	10.815500	6.648566	0.018740	3.5
26	-0.652526	11.815499	6.445962	0.006303	3.5
27	-0.699145	11.949059	6.419833	0.011137	3.4
28	-0.691632	12.121094	6.386488	0.012342	3.6
29	-0.683485	13.120823	6.199366	0.008477	3.4
30	-0.707420	13.935604	6.054782	0.018004	3.4
31	-0.677961	13.779185	6.082013	0.006922	3.5
32	-0.682917	14.778942	5.912066	0.014339	3.5
33	-0.672343	15.116552	5.856801	0.020298	3.6
34	-0.690330	14.960072	5.882287	0.018711	3.4
35	-0.716586	15.950423	5.724629	0.023842	3.2
36	-0.693232	16.950423	5.573784	0.014619	3.6
37	-0.687038	17.950053	5.430736	0.014429	3.5
38	-0.693751	17.793724	5.452621	0.012586	3.2
39	-0.685183	18.793673	5.315605	0.014906	3.1
40	-0.674394	18.644429	5.335616	0.012866	3.4
41	-0.715674	18.487949	5.356760	0.027514	3.6
42	-0.666024	19.487949	5.224455	0.014294	3.6
43	-0.670867	20.487949	5.098528	0.013239	3.6
44	-0.702833	21.487948	4.978529	0.013895	3.5
45	-0.677472	21.331922	4.996878	0.019217	3.5
46	-0.634693	21.175442	5.015418	0.012693	3.6
47	-0.713244	22.175440	4.899254	0.010416	3.4
48	-0.671697	23.148712	4.791249	0.011364	3.5
49	-0.685563	24.148711	4.685127	0.023769	3.4
50	-0.673359	23.992231	4.701422	0.017913	3.6
51	-0.685477	23.835962	4.717808	0.013705	3.4
52	-0.714806	23.679483	4.734331	0.023536	3.3
53	-0.697963	23.552826	4.747790	0.024681	3.6
54	-0.680896	24.552826	4.643564	0.008790	3.2
55	-0.711766	24.396899	4.659514	0.017728	3.3
56	-0.685248	25.366846	4.562041	0.017348	3.5
57	-0.703818	25.210365	4.577490	0.012729	3.7
58	-0.701870	25.053886	4.593043	0.011734	3.6
59	-0.706602	24.897413	4.608701	0.011813	3.5
60	-0.672963	24.740934	4.624468	0.010640	3.6
61	-0.708738	25.740465	4.525575	0.012417	3.6
62	-0.693054	26.541865	4.449288	0.015571	3.6
63	-0.674976	27.532716	4.358451	0.013502	3.5
64	-0.648331	28.459365	4.276793	0.011414	3.5
65	-0.655098	28.302886	4.290367	0.015918	3.9
66	-0.692497	28.208672	4.298581	0.020687	3.1
67	-0.688305	29.208606	4.212972	0.017104	3.5
68	-0.702000	30.208603	4.130702	0.009994	3.6
69	-0.708238	31.161738	4.055223	0.013716	3.4
70	-0.692656	32.142578	3.980376	0.015099	3.5
71	-0.699264	33.142549	3.906862	0.005791	3.5
72	-0.684785	32.991269	3.917809	0.015646	3.2
73	-0.693664	33.984709	3.847023	0.011872	3.6
74	-0.667878	33.828235	3.858002	0.015095	3.7
75	-0.684326	34.439591	3.815459	0.022889	3.7
76	-0.683353	35.439591	3.747856	0.024036	3.7
77	-0.660878	35.283111	3.758276	0.010561	3.5
78	-0.698196	36.283102	3.692668	0.016323	3.4
79	-0.682687	36.128266	3.702676	0.011363	3.2
80	-0.652959	35.971787	3.712846	0.014985	3.2
81	-0.659394	35.828147	3.722231	0.010976	3.3
82	-0.668984	36.811511	3.658916	0.015724	3.5
83	-0.713140	37.801719	3.597301	0.017324	3.7
84	-0.698897	37.645239	3.606899	0.015609	3.8
85	-0.677404	38.645239	3.546427	0.005392	3.6
86	-0.668453	39.593161	3.490946	0.018349	3.5
87	-0.680197	39.443045	3.499616	0.015773	3.3
88	-0.673037	40.443045	3.442659	0.017786	3.4
89	-0.687445	41.443045	3.387526	0.012336	3.4
90	-0.677213	42.443045	3.334132	0.010995	3.6
91	-0.667688	43.103833	3.299763	0.010117	3.5
92	-0.634922	43.887072	3.259932	0.013917	3.6
93	-0.683900	44.081723	3.250182	0.012407	3.6
94	-0.685622	45.081723	3.200998	0.017555	3.5
95	-0.703482	45.642667	3.174055	0.011525	3.7
96	-0.682522	45.486187	3.181525	0.016916	3.7
