1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.668059	0.000000	2016.046674	0.002906	850.7
1	-0.676259	0.000000	2016.046674	0.002796	2.3
2	-0.691799	0.000000	2016.046674	0.002159	2.4
3	-0.686881	0.000000	2016.046674	0.002600	2.3
4	-0.686055	0.000000	2016.046674	0.003311	2.4
5	-0.695146	1.000000	1924.408189	0.003050	2.3
6	-0.702482	2.000000	1840.738268	0.002964	2.4
7	-0.704655	3.000000	1764.040840	0.002526	2.2
8	-0.689907	2.626399	1791.935356	0.002426	2.3
9	-0.708710	3.596556	1721.256432	0.001822	2.4
10	-0.696485	4.596556	1654.010806	0.002092	2.2
11	-0.691334	5.596555	1591.821968	0.002528	2.3
12	-0.669982	6.596555	1534.140059	0.002334	2.3
13	-0.653760	7.596550	1480.492590	0.002813	2.3
14	-0.675940	8.540520	1433.183314	0.003091	2.4
15	-0.694169	9.540520	1386.256042	0.002232	2.3
16	-0.689800	10.121322	1360.385028	0.002194	2.4
17	-0.694044	9.747722	1376.914353	0.002352	2.3
18	-0.699172	9.374121	1393.850360	0.002584	2.4
19	-0.702070	10.374121	1349.423607	0.001953	2.4
20	-0.693630	10.067373	1362.747352	0.002255	2.4
21	-0.703607	9.693772	1379.334546	0.001705	2.3
22	-0.673151	9.320171	1396.330510	0.002090	2.4
23	-0.686290	10.320167	1351.748222	0.002063	2.4
24	-0.711102	11.320167	1309.924545	0.002704	2.5
25	-0.708236	12.320167	1270.611280	0.002934	2.4
26	-0.679643	13.320167	1233.588987	0.002520	2.4
27	-0.694472	14.320167	1198.663077	0.002715	2.3
28	-0.701399	15.320167	1165.660391	0.002210	2.4
29	-0.698711	14.946566	1177.775364	0.003291	2.4
30	-0.713939	14.572965	1190.144809	0.002487	2.4
31	-0.699232	15.473623	1160.756096	0.002024	2.4
32	-0.694372	16.473561	1129.782675	0.002409	2.4
33	-0.733236	16.099960	1141.159715	0.002529	2.4
34	-0.695705	15.726359	1152.768222	0.002180	2.4
35	-0.698818	16.726359	1122.212184	0.002260	2.5
36	-0.702573	17.726359	1093.234190	0.002491	2.3
37	-0.735325	17.352759	1103.883573	0.002764	2.3
38	-0.707737	18.349612	1075.918621	0.002286	2.5
